device_id,seq,timestamp,arrival_time,readings_count,readings
1825,0,1766601385,1766601385,1,27.34000015258789
1825,1,1766601390,1766601390,1,28.59000015258789
1825,2,1766601395,1766601395,1,25.920000076293945
1825,3,1766601400,1766601400,1,24.770000457763672
1825,4,1766601405,1766601405,1,26.059999465942383
1825,5,1766601410,1766601410,1,22.56999969482422
1825,6,1766601415,1766601415,1,20.799999237060547
1825,7,1766601420,1766601420,1,23.530000686645508
1825,8,1766601425,1766601425,1,26.209999084472656
1825,9,1766601430,1766601430,1,28.510000228881836
1825,10,1766601435,1766601435,1,28.790000915527344
1825,11,1766601440,1766601440,1,29.239999771118164
