device_id,seq,timestamp,arrival_time,readings_count,readings
8639,0,1766601363,1766601363,1,28.31999969482422
8639,1,1766601364,1766601364,1,27.40999984741211
8639,2,1766601365,1766601365,1,22.950000762939453
8639,3,1766601366,1766601366,1,20.56999969482422
8639,4,1766601367,1766601367,1,23.229999542236328
8639,5,1766601368,1766601368,1,25.040000915527344
8639,6,1766601369,1766601369,1,26.520000457763672
8639,7,1766601370,1766601370,1,28.09000015258789
8639,8,1766601371,1766601371,1,21.739999771118164
8639,9,1766601372,1766601372,1,27.899999618530273
8639,10,1766601373,1766601373,1,21.31999969482422
8639,11,1766601374,1766601374,1,27.100000381469727
8639,12,1766601375,1766601375,1,24.25
8639,13,1766601376,1766601376,1,28.760000228881836
8639,14,1766601377,1766601377,1,21.799999237060547
8639,15,1766601378,1766601378,1,27.299999237060547
8639,16,1766601379,1766601379,1,20.68000030517578
8639,17,1766601380,1766601380,1,26.420000076293945
8639,18,1766601381,1766601381,1,29.59000015258789
