device_id,seq,timestamp,arrival_time,readings_count,readings
2357,0,1766598521,1766598521,1,28.489999771118164
2357,1,1766598522,1766598522,1,21.34000015258789
2357,2,1766598523,1766598523,1,27.59000015258789
2357,3,1766598524,1766598524,1,24.90999984741211
2357,4,1766598525,1766598525,1,27.25
2357,5,1766598527,1766598527,1,22.920000076293945
2357,6,1766598528,1766598528,1,26.360000610351562
2357,7,1766598529,1766598529,1,21.68000030517578
2357,8,1766598530,1766598530,1,26.56999969482422
2357,9,1766598531,1766598531,1,27.729999542236328
2357,10,1766598533,1766598533,1,24.270000457763672
2357,11,1766598534,1766598534,1,29.690000534057617
2357,12,1766598535,1766598535,1,20.690000534057617
2357,13,1766598536,1766598536,1,25.610000610351562
2357,14,1766598537,1766598537,1,28.139999389648438
2357,15,1766598538,1766598538,1,22.440000534057617
2357,16,1766598539,1766598539,1,20.649999618530273
