device_id,seq,timestamp,arrival_time,readings_count,readings
1663,0,1766598499,1766598499,1,22.59000015258789
1663,1,1766598500,1766598500,1,25.299999237060547
1663,2,1766598501,1766598501,1,21.09000015258789
1663,3,1766598502,1766598502,1,22.90999984741211
1663,4,1766598503,1766598503,1,20.049999237060547
1663,5,1766598504,1766598504,1,21.280000686645508
1663,6,1766598505,1766598505,1,21.559999465942383
1663,7,1766598506,1766598506,1,28.030000686645508
1663,8,1766598507,1766598507,1,28.3700008392334
1663,9,1766598508,1766598508,1,22.0
1663,10,1766598509,1766598509,1,24.309999465942383
1663,11,1766598510,1766598510,1,28.030000686645508
1663,12,1766598511,1766598511,1,26.1200008392334
1663,13,1766598512,1766598512,1,22.559999465942383
1663,14,1766598513,1766598513,1,25.260000228881836
1663,15,1766598514,1766598514,1,28.299999237060547
1663,16,1766598515,1766598515,1,25.639999389648438
1663,17,1766598516,1766598516,1,20.6200008392334
1663,18,1766598517,1766598517,1,27.520000457763672
